"","questions"
"1","자기소개서에 쓰여진 프로젝트에서 자신의 역할을 자세히 설명해 주세요."
"2","어떤 프로그램들을 다룰 줄 알고, 무엇에 가장 자신이 있는지?"
"3","최근 있었던 일 중 가장 힘들었던 일은?"
"4","최근에 관심있게 가본 컨퍼런스가 있나요?"
"5","입사해서 어떤 일을 하게 될 것 같나요?"
"6","LG CNS에 지원한 동기는?"
"7","창의력은 무엇이라고 생각합니까?"
"8","가장 기억에 남는 프로젝트는 무엇입니까?"
"9","ㅇㅇ프로젝트를 진행하면서 기술적으로 가장 기억에 남았던 부분이 있다면?"
"10","스마트펙토리의 직군에 대해서 알고 지원했나?"
"11","스마트팩토리 직군 특성상 지방근무가 순환적인 지방근무가 필수적인데 괜찮겠나?"
"12","인턴 경험이 많은데 가장 기억에 남는 경험이 무엇인가?"
"13","우리회사에 대해 알고 있었는지?"
"14","지금 스마트팩토리 부문에 면접을 오신건데 어떤 일을 하는지 알고 지원하신건가? 우리가 뭘하는 부문인 것 같은가?"
"15","지방 근무나 해외 파견이 될 수 있다. 어떻게 할 건가? 여자친구는 있는지? 그런 상의는 해봤는지?"
"16","스마트팩토리에 대해서 아는대로 말해보세요."
"17","대학교 프로젝트 중에서 가장 기억에 남는게 무엇인가요?"
"18","스마트팩토리 직군은 지방에 파견될 수 있는데 지방근무도 괜찮은지?"
"19","입사하면 어느 팀으로 가고 싶은가?"
"20","입사하자마자 프로그래밍 업무가 주어질 수도 있는데, 지금 역량으로 가능하다고 생각하는가?"
"21","지원 분야에 대한 지식과 향후 발전 방향에 대해 말해보아라."
"22","컴퓨터과학을 이중 전공한다고 했는데, 컴퓨터과학과 컴퓨터공학의 차이는 무엇인지 설명할 수 있는가?"
"23","LG CNS 가 제공했거나 현재 서비스 중인 시스템에 대해 아는 게 있는가?"
"24","상견례가 잡혀있는 날, 갑자기 회사에 중요한 프로젝트가 잡히게 되었다면 어떻게 할 것인가?"
"25","주기적으로 하는 일이 있다면 무엇인가?"
"26","팀프로젝트를 할 때 팀에서 담당하는 위치가 무엇인가?"
"27","LG CNS에 지원하게 된 동기는?"
"28","SI를 한단어로 표현한다면?"
"29","마지막으로 하고 싶은 말은?"
"30","무엇을 팔아본 경험이 있는가?"
"31","본인을 동물로 표현하자면 무엇인지?"
"32","봉사활동은 무엇을 했는가?"
"33","살면서 가장 어려웠던 경험은 무엇이었고, 어떻게 극복했는가?"
"34","여자친구와 고객의 동일한 점과 차이점은 무엇인가?"
"35","자기소개"
"36","장교로 근무하고 있는데 무슨 일을 하고 있는가?"
"37","교통에 관심이 많다고 하는데, LG CNS는 공공부문 사업이 많아서 교통관련의 업무를 못 할 수도 있는데 어떻게 생각하는가?"
"38","마지막 멘트나 질문이 있다면 하시오"
"39","면접관이 몇 십년 동안 담배를 펴오고 있는데, 자신이 담배를 끊을 수 있도록 설득해 보아라"
"40","연예경험이 있는가?"
"41","영어로 부모님께 LG CNS에 대해 설명하라"
"42","왜 지방에 지원했나?"
"43","타 전공자인데도 불구하고 LG CNS를 지원한 이유"
"44","LG CNS를 알게 된 이후 입사를 위해 무엇을 준비했는가?"
"45","기업 이미지"
"46","지원분야에 대한 생각"
"47","향후 포부"
"48","65세 정년 의무화 찬반"
"49","LG CNS가 경쟁사와의 경쟁에서 앞서 나가려면 어떻게 해야 한다고 생각하는지 말해보세요."
"50","1분 자기소개"
"51","마지막으로 할말 짧게 해주세요."
"52","자신이 닮은 리더와 리더쉽에 대해 설명해보시오"
"53","우리 회사에서 성공적인 경력을 쌓기에 적합한 본인의 자질은 무엇입니까??"
"54","우리 회사에 대해 알고 있는 점을 말씀해보십시오!"
"55","자신의 인생의 목표가 무엇이고 그것이 CNS입사랑 어떻게 연관되는가?"
"56","서울아닌 지방의 경우, 지방근무 가능한지?"
"57","우리가 당신을 왜 뽑아야 합니까? // 인생에서 가장 힘들었던 경험은?"
"58","30초간 마지막으로 하고 싶은 말을 해보세요"
"59","비전공자인데 지원한 동기가 무엇인가?"
"60","인적성 검사의 낮은 부분이 있는데 실제 성격이 그러합니까?"
"61","자기소개를 30초간 해보세요."
"62","전공과 관련하여 역량을 높이기 위해 준비했던 것은?"
"63","전공과 직무가 별로 상관이 없는데, 지원한 이유는?"
"64","팀프로젝트 경험이 있는가? 프로젝트 시 본인이 맡은 역할은?"
"65","INFRASTRUCTURE에 대해서 아는 것"
"66","고객과 문제점이 생기면 어떡할것이냐?"
"67","면접관들에게 질문 해보세요"
"68","본인들이 꼭 뽑혀야 하는 이유는 무엇인가?"
"69","영어로 자기 소개를 해보세요"
"70","자기 소개를 해보세요"
"71","나중에 컨설팅을 하고 싶다고 했는데 자신이 생각하는 커리어 패스를 말해보세요"
"72","마지막으로 질문 또는 하고 싶은 말을 해보세요"
"73","본인이 생각하는 디자인이란 무엇인가?"
"74","비전공인데 UX디자인이 무엇인지 아는가?"
"75","비전공자인데 디자인을 할 수 있는가?"
"76","우리 회사에서 하는 디자인을 무엇이라 생각하는가? 일반적인 디자인의 의미와 차이점이 무엇이라 생각하는가?"
"77","전공이 컴공인데 SI/SM이나 네트웍 보안 등의 분야로 지원해야하는데 디자인을 지원한 이유는 무엇인가?"
"78","지방근무가 있는데 괜찮은가?"
