"","questions"
"1","다른 회사는 어디에 지원했는지?"
"2","지난번에도 지원한 것 같은데, 그 때는 왜 떨어졌다고 생각하는지?"
"3","품질 관련해서 관심있는 것 같은데 관련 툴을 이용해본 적이 있는지?"
"4","전기자동차의 전망에 대해 말해보세요"
"5","2020년에 일회용 쓰레기로 인한 환경오염이 완전히 사라졌다. 그 이유는?"
"6","기업의 사회적 책임을 어떻게 생각하는가?"
"7","미래에 노인들의 육아 스트레스가 사라졌다. 무게, 소리를 이용해 설명하라."
"8","지원자가 존경하는 인물은 누구인가?"
"9","자신이 다니고 있는 회사 SNS에 친한 친구가 악플을 올렸다. 당신은 어떻게 행동하겠는가?"
"10","만약 주말에 야외 체육대회를 진행할 건데 참여도를 높일 좋은 방법은 어떤것이 있을까?"
"11","단체경험에 대해 말해주십시오."
"12","자기소개를 해보십시오."
"13","자신의 지인이 삼성SDI를 모욕하고 다닌다면 어떻게 대응하겠습니까?"
"14","제2외국어로 아무말이나 해보아라"
"15","기업의 사회적 책임에 대해 어떻게 생각하는가?"
"16","2차 전지 생산 관련 주제"
"17","분식회계와 카드채에 대해 설명해보시오."
"18","최근에 갔다온 여행지는 어디인가? 어땠는가?"
"19","취미가 외국어 말고 어떤 것이 있는가?"
"20","기업의 사회적 책임에 대해 말해보라."
"21","동아리 활동을 짧게 2번 했는가, 그렇다면 회사도 짧게 다닐 것인가?"
"22","미성년 성폭행범을 인터넷에 실명으로 올리는 문제에 대해"
"23","불량률을 추적조사할 수 있는 방법은?"
"24","어떤 회로를 납땜할 때 나타나는 불량률, 비가 오는 날 불량률이 높았다. 장마철에 불량률이 높아지는 이유는?"
"25","영어토론 - 주한미군이 미국에 돌아가야 하는가?"
"26","장마철이 아닌 3~4월에 불량률이 높아지는 이유는?"
"27","지금 사회에서 문제가 되고 있는 것 2가지와 그 대책을 말해보라"
"28","집이 지방에 있는데 지방생활과 서울생활의 차이점"
"29","SDI가 무엇을 하는 회사인가?"
"30","개인적인 능력의 뛰어남보다 팀원으로서 얼마나 일을 잘 할 수 있는가?"
"31","이성친구가 있는가? 있다면 이성친구는 너에 대해 어떤 사람이라고 말하는가?"
"32","중요한 약속이 있는데 다른 사람들은 야근을 하고 있다. 어떻게 할 것인가?"
"33","큰 실수를 했던 경험은 무엇이고 어떻게 해결하였는가?"
"34","팀 프로젝트 회의에서 자신이 생각했던 좋은 아이디어가 기각 당했다. 어떻게 할 것인가?"
"35","고체전해질의 합성과 XRD 패턴 분석"
"36","꼭 하고 싶었던 말이나, 준비했는데 못한 말이 있다면 해보세요"
"37","논문이 나온 것이 있는지?"
"38","마지막으로 하고 싶은 말, 못했던 말들 해보세요"
"39","뭔가에 몰입한 경험이 있다면?"
"40","삼성SDI에서 어떤 일을 하고 싶은가?"
"41","어떤 것에 몰입하여 열심히 한 경험이 있다면?"
"42","자기 소개를 해보세요"
"43","종교 활동을 하는가? 일요일에 근무를 해야 한다면 어떻게 할 건지?"
"44","종교활동은 열심히 하나요?"
"45","트위터는 하시는지?"
"46","폴리머와 고체 전해질을 비교하면?"
"47","PT주제에서 추가로 진행하는 실험이 있다면?"
"48","SDI가 리튬 배터리 중대형 부분에서 1위하려면 얼마나 걸릴 것 같은지?"
"49","SDI에서 어떤 일을 하고 싶은가?"
"50","SNS에 유명인이 정치/시사적인 부분에서 자신의 생각을 표현하는 건 어떻게 생각하는지?"
"51","SNS에 유명인이 정치적인 의견을 쓰는 것에 대해 어떻게 생각하는가?"
"52","아이돌 육성 시스템에 대한 찬반토론하세요"
"53","왜 지금의 전공을 선택했나요?"
"54","1학년 때 학점은 거의 완벽한데 지금 학점이 나쁜 이유는 무엇인가?"
"55","도요타 사태에 대해 말해보세요"
"56","서적이나 인터넷을 참고 한다고 했는데 교수님께 찾아가본 적은 없는가?"
"57","쇼핑을 좋아하는지 영어로 대답해보세요"
"58","어려운 문제가 발생했다면 어떻게 해결하겠는가?"
"59","운동을 좋아하는지 영어로 대답해보세요"
"60","정보화 사회의 문제점에 대해 말해보세요"
"61","취미와 특기에 대해 말해보세요"
"62","태권도 1단이 있는데 언제 땄는가? 따기 쉬운가?"
"63","PT에서 어려운 점이 무엇이었는가?"
"64","간접광고에 대해 찬반토론해보세요"
"65","자기소개를 해보세요"
