"","questions"
"1","조직 내에서 리더로서 갈등을 해결한 경험이 있나요?"
"2","규칙을 어기면 이익을 얻을 수 있는 상황에서 규칙을 지킬 것인가? 관련 경험이 있는가?"
"3","본인이 단체 내에서 주도한 경험이 있는지?"
"4","지원동기를 말해주세요."
"5","직장과 거리가 먼 곳에 배치는 어떻게 생각하나요?"
"6","개인의 역량을 최대로 발휘한 경험은?"
"7","하이마트 지점에 방문해봤나요?"
"8","OO, OOOO 등과 비교해서 롯데하이마트 어플이 뭐가 좋은지?"
"9","하이마트의 광고를 본 적 있나? 이전 광고와 차이점이 있는데 어떤 것이 더 좋다 생각하는지?"
"10","비윤리적인 행동을 했던 사례 있는지?"
"11","가장 좋았던 팀플과 안좋았던 팀플은?"
"12","롯데하이마트 오프라인 매장 가본 적 있는지?"
"13","1분 자기소개를 해주세요"
"14","이전 직장은 왜 퇴사했나요?"
"15","하이마트에 지원한 이유는 무엇인가요?"
"16","지원자의 장단점은 무엇인가?"
"17","개인의 강점은 무엇인가?"
"18","하기 싫었던 일을 한 경험에 대해 말해보시오."
"19","가장 친한 친구가 본인을 어떻게 평가하나요?"
"20","곤란했던 부탁을 받은 경험이 있나요?"
"21","다른 계열사도 많은데, 하이마트에 지원한 이유는 무엇인가요?"
"22","본사 사옥을 본 소감이 어떤가요?"
"23","본인에게 가장 매력적인 면은 무엇인가요?"
"24","본인은 윤리적인 사람이라고 생각하나요?"
"25","실패한 경험을 토대로 이루어낸 성과가 있나요?"
"26","전공과 하이마트의 관련성은 무엇인가요?"
"27","하이마트 PB 상품 개발에서 고려해야 할 요소 및 홍보 전략에 대해 토론해 보세요."
"28","학창 시절 부정행위를 저질러 본 경험이 있나요?"
"29","롯데하이마트가 앞으로 나가야 할 방향을 제시해보아라"
"30","롯데하이마트의 매출액은 얼마인가?"
"31","롯데하이마트의 업장 수를 아는가?"
"32","모바일 침체기의 해결방안을 가지고 있는가?"
"33","유통업을 잘할 수 있는가?"
"34","창의적으로 문제를 해결한 사례가 있는가?"
"35","면접 대기 기다리는 동안 무슨 생각을 했나?"
"36","하이마트 입사 후 본인이 기여할 수 있는 부분은?"
"37","다른 사람들이 생각하지 못하는 창의적인 방법을 이용해서 문제를 해결한 경험은?"
"38","전자 유통 채널에서의 삼성과 엘지의 전략과 하이마트의 전략의 차이점을 말해보아라"
"39","지점장이 된다면 어떻게 조직원을 대할 것인가?"
"40","신동빈 회장이 언급한 역혁신 방안을 이용해 매장 매출 증진 방안을 말해보시오"
"41","공백 기간 동안에는 무엇을 했나요?"
"42","자신의 장점이 무엇인가요?"
"43","하이마트의 단점은 무엇인가요?"
