"","IT_questions"
"1","가고 싶은 부서가 있나요?"
"2","왜 삼성전자를 지원했나요?"
"3","직장상사가 본인보다 어린 경우, 어떻게 대처할 것인가요?"
"4","디자인 패턴에 대해 아는 대로 말해보라."
"5","왜 삼성이어야 하는가?"
"6","지금 부르면 30분 내로 달려온 친구가 몇 있는가?"
"7","왜 여기에 지원했는가?"
"8","10년 후 손목 터널증후군 환자가 줄어든다. 왜 그런가?"
"9","본인이 원하는 부서가 아니라도 일할 수 있는가?"
"10","와서 어떤 일을 하고 싶은가?"
"11","전공과 결부하여 지원자가 회사에 어떤 기여를 할 수 있는지 말해보시오."
"12","직무 관련하여 얼마나 알고 있는가?"
"13","직장 상사가 부당한 일을 처리하라고 시킨다면 당신은 어떻게 대답할 것인가?"
"14","취업 전 공백기에는 무엇을 했는가?"
"15","10년 후 손목터널증후군 환자가 줄어든다. 왜 그렇다고 생각하는가?"
"16","제품에 하자가 있는 걸 알면서도 물건을 팔아야 하는 상황에 놓인다면 어떻게 할 것인가?"
"17","삼성 핸드폰이 소프트웨어에서 부족한 점이 무엇이라고 생각하는지 구체적으로 말하시오"
"18","소프트웨어관련직종에 종사하는 아는사람이 있는가?"
"19","어떤 스타일의 직원과 일하고 싶으며, 반대로 어떤 스타일의 직원과는 일을 하기 싫은지?"
"20","이 직무를 하는데 있어서 어떤 능력이 가장 중요할 것 같나요?"
"21","자신이 존경하는 인물은 누구인가?"
"22","(인성면접) 자신의 단점은 무엇이고, 단점을 어떻게 극복하셨습니까?"
"23","전공이 지원 분야에 어떻게 도움이 될지 말해보세요."
"24","다른 기업에서 인턴을 했을 때 남들보다 업무를 효과적으로 수행했던 노하우가 있었는가?"
"25","문제를 해결했던 사례 또는 문제해결능력을 보여줄 수 있는 경험에 대해 말해보시오."
"26","C언어가 컴파일되어 실행되는 과정을 설명하라"
"27","지원하게 된 동기는?"
"28","본인의 석사기간 연구 주제는 무엇이었나요?"
"29","수행했던 연구과제가 지원 직무와 어떤 연관이 있나요?"
"30","문제풀이 내용과 관련하여 답변의 근거는 무엇인가요?"
"31","자기소개를 해보세요."
"32","힘든점은 없었나요?"
"33","마지막으로 하고 싶은 말은?"
"34","반도체 전공인데 왜 보안을 지원했나요?"
"35","자신이 기여할 수 있는 부분이 어떤 부분이라고 생각하나요?"
"36","우리 회사에 지원한 이유는?"
"37","무모한 도전을 해본 적 있습니까?"
"38","자기소개서를 보면 좋게말하면 다재다능이지만, 돌려말하면 직무에 연관된 점은 적은데 이건 어떻게 생각하십니까?"
"39","급박한 상황에 대한 대처경험이 있습니까?"
"40","왜 KT에 지원했나요?"
"41","입사 후 포부에 대해서 말해보세요."
"42","OSI 7계층에 대해서 설명해보세요."
"43","서버, 보안 등 네트워크 이외의 지식도 있는가?"
"44","빅데이터에 관해 설명해봐라."
"45","황금주파수가 무엇인가?"
"46","show, olleh, qook이 뭔지 아느냐 설명해봐라."
"47","KT가 앞으로 어떤 미래사업에 투자해야 할지 말해보세요."
"48","KT의 장점과 그렇게 말할 수 있는 근거를 대보세요. 또한 그러한 KT의 장점을 잘 살릴 수 있는 방안에 대해서 말해보세요."
"49","본인이 했던 인턴 경험이 해당 직무와 어떻게 관련이 있는지 말해보시오."
"50","대외 활동 많이 하고 성적이 좋은데, 어떻게 관리했나?"
"51","통신사에 왜 지원했는가?"
"52","자신있는 언어는 무엇인가?"
"53","전공이 KT에 어떤 기여를 할 수 있는지 설명하시오."
"54","최후 변론과 궁금한 점에 대해 말해보시오."
"55","풍력 발전기의 최신 기술을 설명하시오."
"56","해왔던 프로젝트에 대해 설명해보시오."
"57","협업 시 생긴 문제를 해결한 경험이 있는가?"
"58","교환학생을 다녀왔는데, 왜 다녀왔는가?"
"59","미래 KT의 계획에 대한 생각을 말해보시오."
"60","본인의 스트레스 해소법에 대해 말해보시오."
"61","올해 초 주파수 경매가 있었는데, 이에 대해 아는 대로 얘기해봐라."
"62","이 프로젝트를 한 이유는? 거기서 본인이 한 역할은 무엇이며, 무엇을 배웠는가?"
"63","케이티에 대해 구글링해서 나오는 것을 제외하고 알고있는 것"
"64","KT에서 하고 싶은 게 뭡니까?"
"65","KT의 해외 확장 가능성에 대해 말해보시오."
"66","가장 힘들었던 일에 대해 얘기해주세요."
"67","졸업 작품에 대해 설명해주세요."
"68","미래 KT의 계획에 대한 생각은 무엇입니까?"
"69","프로젝트 도중 팀원과 갈등 상황이 생겼을 때의 해결 방법을 말해보세요."
"70","IoT가 다음 세대의 화두가 될 것이라 얘기했는데, 생각해 본 상품이 있나요?"
"71","케이티의 신기술에 대해 아는 것이 있습니까?"
"72","네트워크에서 오류 제어 방식 중 backward 방식과 forward 방식이 있는데, 두 가지에 대해 아는 대로 설명해보세요."
"73","자기소개서에 있는 내용 말고 다른 프로젝트를 하면서 겪었던 어려움이 있나요?"
"74","지원자가 소프트웨어 개발을 좋아하는 것 같은데, KT는 개발과는 거리가 좀 있는 편입니다. 알고 있나요?"
"75","동아리 활동을 하며 어떤 일을 했고, 무엇을 배웠는가?"
"76","학점이 낮은 이유는 무엇인가?"
"77","네트워크 직무에서 가장 필요한 역량은 무엇이라고 생각하나요?"
