"","회사명","면접질문"
"1","삼성전자(주)","팀원 중 한명이 능력이 떨어지면 어떻게 할것인가?"
"2","삼성전자(주)","OO씨가 생각하는 리더십이란 무엇이가?"
"3","삼성전자(주)","입사해 제품을 개발한다면 어떤 제품을 개발하고 싶은가?"
"4","삼성전자(주)","입사를 한다면 어떤식으로 업무에 응할 것인지"
"5","삼성전자(주)","경력직 이직인데 이직한 이유가 있는지"
"6","삼성전자(주)","업무절차 프로세스 질문을 함 ex)관공서 대응"
"7","삼성전자(주)","자기소개"
"8","삼성전자(주)","이직 사유"
"9","삼성전자(주)","마지막으로 하구 싶은 말"
"10","삼성전자(주)","아르바이트 경험"
"11","삼성전자(주)","왜 지원을 했는지"
"12","삼성전자(주)","잠은 잘 자는 편인지"
"13","삼성전자(주)","동아리 활동"
"14","삼성전자(주)","기업의 사회적책임에 대해서 어떻게 생각하는가?"
"15","삼성전자(주)","전자공학전공이신데 왜 공정기술직무로 지원하셨나요?"
"16","삼성전자(주)","대외활동중에서 가장 기억에 남는 활동은?"
"17","삼성전자(주)","설비를 직접해본적이 있는가?"
"18","삼성전자(주)","~~으로 상을 받았는데 ~~은 무엇인가?"
"19","삼성전자(주)","자격증 무엇을 땄는가?"
"20","삼성전자(주)","부당한 지시가 있다면 어떻게 할 것인가?"
"21","삼성전자(주)","선배에게 정당한 지시를 하려고 하면 어떻게 할 것인가?"
"22","삼성전자(주)","p형, n형 반도체는 무엇인가?"
"23","삼성전자(주)","본인의 창의적인 경험을 말해보세요."
"24","삼성전자(주)","본인의 학점이 상당히 좋은데 대학시절 혹시 공부만 한 건 아니었나요? or 비결이 무엇이라고 생각하나요?"
"25","삼성전자(주)","우리 회사에서 인턴을 했는데 최종면접에서 전환이 안 되었는데 그 이유는 무엇이라고 생각하나요?"
"26","삼성전자(주)","LOCOS 공정에 대해 설명해 보세요."
"27","삼성전자(주)","conformal한 증착을 위해 필요한 조건을 아는 대로 말해 보세요."
"28","삼성전자(주)","이전직장에서 무슨업무했는지?"
"29","삼성전자(주)","왜 이직하는지?"
"30","삼성전자(주)","그 전 회사가 다수일경우 두개회사 비교질문"
"31","현대자동차(주)","포트폴리오 기반 질문"
"32","현대자동차(주)","갈등 발생 시 어떻게 해결"
